0,"NAF1",old,"NAF2",new,Précisions sur la nature du lien,Commentaires  ,"Date 
modification","NAF 2
N liens","NAF 1
N liens",NAF 2 rang lien,NAF 1 rang lien
1,01.1Ap,Culture de céréales ; cultures industrielles,01.11Zp,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","CC : - culture de céréales (CPA 02 : 01.11.1p)
- culture de légumes secs (CPA 02 : 01.11.22)
- culture de plantes oléagineuses (CPA 02 : 01.11.3p)
CA : - production de foin, paille et balles de céréales brutes (CPA 02 : 01.11.60p)
- culture de graines  oléagineuses n.c.a. (CPA 02 : 01.11.35p)
NC :  - culture du riz (CPA 02 : 01.11.14)
- culture de fruits oléagineux tropicaux (CPA 02 : 01.11.35p)
-  production de caoutchouc naturel brut (CPA 02 : 01.11.8)
- culture de plantes aromatiques ou médicinales (CPA 02 : 01.11.91)
- culture de légumes verts (CPA 02 : 01.12.12p)
- traitement des semences de céréales",,,1,1,1,1
3,01.1Ap,Culture de céréales ; cultures industrielles,01.12Z,Culture du riz,CC : culture du riz (CPA 02 : 01.11.14),,,0,1,1,2
4,01.1Ap,Culture de céréales ; cultures industrielles,01.13Zp,"Culture de légumes, de melons, de racines et de tubercules","CC : - culture de pommes de terre (CPA 02 : 01.11.21)
- culture des racines et tubercules à amidon ou inuline (CPA 02 : 01.11.23)
- culture des betteraves à sucre (CPA 02 : 01.11.51)
- production de semences de betteraves à sucre (CPA 02 : 01.11.92p) ",,,1,1,1,3
7,01.1Ap,Culture de céréales ; cultures industrielles,01.14Z,Culture de la canne à sucre,,,,0,1,1,4
8,01.1Ap,Culture de céréales ; cultures industrielles,01.15Z,Culture du tabac,"CC : culture du tabac brut (CPA 02 : 01.11.40p)
NC : préparation des feuilles de tabac (CPA 02 : 01.11.40p)",,,0,1,1,5
9,01.1Ap,Culture de céréales ; cultures industrielles,01.16Z,Culture de plantes à fibres,"CC : culture de plantes textiles 
",,,0,1,1,6
10,01.1Ap,Culture de céréales ; cultures industrielles,01.19Zp,Autres cultures non permanentes,"CC  : - production de semences de plantes fourragères, y. c. gazon (CPA 02 : 01.11.92p) 
- culture de plantes industrielles n.c.a. (CPA 02 : 01.11.93)
- culture de plantes fourragères (CPA 02 : 01.11.60p)
NC :  production de foin, paille et balles de céréales brutes (CPA 02 : 01.11.60p)",,,1,1,1,7
18,01.1Ap,Culture de céréales ; cultures industrielles,01.26Zp,Culture de fruits oléagineux,"CA : culture de fruits oléagineux tropicaux  (CPA 02 : 01.11.35p)
NC : culture de graines  oléagineuses n.c.a. (CPA 02 : 01.11.35p)",,,1,1,1,8
21,01.1Ap,Culture de céréales ; cultures industrielles,01.28Zp,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",CC : culture de plantes aromatiques ou médicinales,,,1,1,1,9
24,01.1Ap,Culture de céréales ; cultures industrielles,01.29Zp,Autres cultures permanentes,CA : production de caoutchouc naturel brut ,,,1,1,1,10
42,01.1Ap,Culture de céréales ; cultures industrielles,01.63Zp,Traitement primaire des récoltes,"CA : préparation des feuilles de tabac (CPA 02 : 01.11.40p)
",,,1,1,1,11
45,01.1Ap,Culture de céréales ; cultures industrielles,01.64Zp,Traitement des semences,CC : traitement des semences de céréales ,,,1,1,1,12
2,01.1Cp,Culture de légumes ; maraîchage,01.11Zp,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",CA : culture de légumes verts (CPA 02 : 01.12.12p),,,1,1,2,1
5,01.1Cp,Culture de légumes ; maraîchage,01.13Zp,"Culture de légumes, de melons, de racines et de tubercules","CC : - culture de légumes racines (CPA 02 : 01.12.11)
- culture de légumes fruits (CPA 02 : 01.12.12p)
- culture d'autre légumes frais, y compris champignons de couche (CPA 02 : 01.12.13p)
NC : - culture de légumes verts (CPA 02 : 01.12.12p)
- collecte de champignons forestiers (CPA 02 : 01.12.13p)
- culture de plantes condimentaires (CPA 02 : 01.12.13p)
- traitement des semences de légumes",,,1,1,2,2
22,01.1Cp,Culture de légumes ; maraîchage,01.28Zp,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",CA : culture de plantes condimentaires (CPA 02 : 01.12.13p),,,1,1,2,3
46,01.1Cp,Culture de légumes ; maraîchage,01.64Zp,Traitement des semences,CC : traitement des semences de légumes,,,1,1,2,4
54,01.1Cp,Culture de légumes ; maraîchage,02.30Zp,Récolte de produits forestiers non ligneux poussant à l'état sauvage,"CA : collecte de champignons forestiers (CPA 02 : 01.12.13p)
",,,1,1,1,5
6,01.1Dp,Horticulture ; pépinières,01.13Zp,"Culture de légumes, de melons, de racines et de tubercules",CC : production de plants et semences potagers,,,1,1,3,1
11,01.1Dp,Horticulture ; pépinières,01.19Zp,Autres cultures non permanentes,"CC : -  production de fleurs coupées (CPA 02 : 01.12.22)
- production de semences florales (CPA 02 : 01.12.23p)",,,1,1,2,2
16,01.1Dp,Horticulture ; pépinières,01.25Zp,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,"CC : production de semences fruitières (CPA 02 : 01.12.23p)
NC : traitement des semences de fleurs et plantes",,,1,1,1,3
26,01.1Dp,Horticulture ; pépinières,01.30Z,Reproduction de plantes,"CC : production de plantes en pots, bulbes et oignons, culture de plants de pépinières (CPA 02 : 01.12.21)
-NC : culture de semences de fleurs et plantes",,,0,1,1,4
47,01.1Dp,Horticulture ; pépinières,01.64Zp,Traitement des semences,CC : traitement des semences de fleurs et plantes ,,,1,1,3,5
51,01.1Dp,Horticulture ; pépinières,02.10Zp,Sylviculture et autres activités forestières,"CA : plants et semences d'arbres forestiers (CPA 02 : 01.12.21p) 
",,,1,1,1,6
13,01.1Fp,Culture fruitière,01.22Z,Culture de fruits tropicaux et subtropicaux,"CC : production d'avocats, bananes, dattes, figues et autres fruits tropicaux et subtropicaux (CPA 02 : 01.13.21p)
NC :- production des fruits tropicaux à coques (CPA 02 : 01.13.21p) 
- production de noix de coco  (CPA 02 : 01.13.21p)",,,0,1,1,1
14,01.1Fp,Culture fruitière,01.23Z,Culture d'agrumes,,,,0,1,1,2
15,01.1Fp,Culture fruitière,01.24Z,Culture de fruits à pépins et à noyau,"CC : production de pommes, poires, coings, abricots, cerises, pêches, nectarines, prunes, prunelles (CPA 02 : 01.13.23p)",,,0,1,1,3
17,01.1Fp,Culture fruitière,01.25Zp,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,"CC : - production de kiwis, framboises, fraise et autres fruits et baies des climats tempérés (CPA 02 : 01.13.23p)
- production de fruits à coques (CPA 02 : 01.13.24p) 
CA : production des fruits tropicaux à coques (CPA 02 : 01.13.21p)
NC  : -  production de noix de coco  (CPA 02 : 01.13.21p)
- collecte de fruits à coques (CPA 02 : 01.13.24p) et de baies poussant à l'état sauvage (CPA 02 : 01.13.23p)
- traitement des semences de cultures fruitières",,,1,1,2,4
19,01.1Fp,Culture fruitière,01.26Zp,Culture de fruits oléagineux,"CC :-  production d'olives et d'autres fruits oléagineux (CPA 02 : 01.13.24p)
CA : production de noix de coco  (CPA 02 : 01.13.21p)
NC : suppression de la convention affectant en  01.1F les unités assurant la production d'huile d'olives  (15.4A) à partir d'olives produites sur la même exploitation (01.1F) ",,,1,1,2,5
20,01.1Fp,Culture fruitière,01.27Z,Culture de plantes à boissons,"CC : culture de café, thé, cacao, bruts (CPA 02 : 01.13.34p)
NC : préparation des fèves de cacao (CPA 02 : 01.13.34p)",,,0,1,1,6
23,01.1Fp,Culture fruitière,01.28Zp,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",CC : culture de plantes à épices (CPA 02 : 01.13.40) ,,,1,1,3,7
43,01.1Fp,Culture fruitière,01.63Zp,Traitement primaire des récoltes,"CA : préparation des fèves de cacao (CPA 02 : 01.13.34p)
",,,1,1,2,8
48,01.1Fp,Culture fruitière,01.64Zp,Traitement des semences,CC : traitement des semences de cultures fruitières,,,1,1,4,9
55,01.1Fp,Culture fruitière,02.30Zp,Récolte de produits forestiers non ligneux poussant à l'état sauvage,"CA : collecte de fruits à coques (CPA 02 : 01.13.24p) et de baies poussant à l'état sauvage (CPA 02 : 01.13.23p)
",,,1,1,2,10
112,01.1Fp,Culture fruitière,10.41Ap,Fabrication d'huiles et graisses brutes,CA : suppression de la convention affectant en  01.1F les unités assurant la production d'huile d'olives  (15.4A) à partir d'olives produites sur la même exploitation (01.1F) ,,,1,1,1,11
